
m4,a1
What is the capital city of the US state of {0}?
The capital city of {0} is {1}.

m4,a0
Which US state has {1} as its capital?
The capital city of {0} is {1}.


Alabama	Montgomery
Alaska	Juneau (largest state)
Arizona	Phoenix
Arkansas	Little Rock
California	Sacramento (most populated state)
Colorado	Denver
Connecticut	Hartford
Delaware	Dover
Florida	Tallahassee
Georgia	Atlanta
Hawaii	Honolulu
Idaho	Boise
Illinois	Springfield
Indiana	Indianapolis
Iowa	Des Moines
Kansas	Topeka
Kentucky	Frankfort
Louisiana	Baton Rouge
Maine	Augusta
Maryland	Annapolis
Massachusetts	Boston
Michigan	Lansing
Minnesota	Saint Paul
Mississippi	Jackson
Missouri	Jefferson City
Montana	Helena
Nebraska	Lincoln
Nevada	Carson City
New Hampshire	Concord
New Jersey	Trenton
New Mexico	Santa Fe
New York	Albany
North Carolina	Raleigh
North Dakota	Bismarck
Ohio	Columbus
Oklahoma	Oklahoma City
Oregon	Salem
Pennsylvania	Harrisburg
Rhode Island	Providence (smallest state)
South Carolina	Columbia
South Dakota	Pierre
Tennessee	Nashville
Texas	Austin
Utah	Salt Lake City
Vermont	Montpelier
Virginia	Richmond
Washington	Olympia
West Virginia	Charleston
Wisconsin	Madison
Wyoming	Cheyenne (least populated state)
